time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:04.585916,10.2,40,1
2024-03-11 22:43:59.577811,10.2,40,3
2024-03-11 23:07:52.759396,7.5,100,3
2024-03-12 00:31:00.502379,7.5,98,3
2024-03-12 01:38:30.797426,7.5,98,3
2024-03-12 02:12:51.949441,7.5,98,3
2024-03-12 03:08:07.985776,7.5,98,3
2024-03-12 04:08:38.039903,7.5,98,1
2024-03-12 05:08:40.248743,7.5,98,1
2024-03-12 06:08:59.467744,7.5,98,1
2024-03-12 07:07:01.400118,7.5,98,1
2024-03-12 08:08:50.330828,7.5,98,12
2024-03-12 09:07:37.555805,7.5,98,4
2024-03-12 10:07:12.001703,7.5,98,9
2024-03-12 11:05:01.180245,7.5,98,7
2024-03-12 12:11:36.426634,7.5,98,6
2024-03-12 13:06:54.639697,7.5,98,2
2024-03-12 14:06:28.905266,7.5,98,8
2024-03-12 15:06:38.265765,7.5,98,18
2024-03-12 16:08:54.926953,7.5,98,18
2024-03-12 17:06:55.309439,7.5,98,13
2024-03-12 18:08:37.636477,7.5,98,15
2024-03-12 19:04:43.970964,7.5,98,20
2024-03-12 20:07:23.522799,7.5,98,16
2024-03-12 21:07:08.169435,7.5,98,16
2024-03-12 22:06:23.674597,7.5,98,16
2024-03-12 23:07:32.497371,6.4,0,15
2024-03-13 00:31:03.074430,6.4,0,17
2024-03-13 01:41:34.996388,6.4,0,17
2024-03-13 02:15:28.057127,6.4,0,19
2024-03-13 03:08:48.270381,6.4,0,19
2024-03-13 04:08:12.809244,6.4,0,15
2024-03-13 05:07:33.121385,6.4,0,14
2024-03-13 06:09:30.509497,6.4,0,12
2024-03-13 07:06:31.992120,6.4,0,2
2024-03-13 08:08:45.945804,6.4,0,11
2024-03-13 09:07:41.852676,6.4,0,14
