time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:07.039048,10.2,40,7
2024-03-11 22:44:01.169476,10.2,40,6
2024-03-11 23:07:54.662179,7.6,100,7
2024-03-12 00:31:02.837300,7.6,98,7
2024-03-12 01:38:32.358286,7.6,98,7
2024-03-12 02:12:53.871434,7.6,98,7
2024-03-12 03:08:09.603829,7.6,98,7
2024-03-12 04:08:39.599388,7.6,98,8
2024-03-12 05:08:42.143261,7.6,98,8
2024-03-12 06:09:01.069023,7.6,98,15
2024-03-12 07:07:04.025971,7.6,98,19
2024-03-12 08:08:51.878091,7.6,98,18
2024-03-12 09:07:39.160531,7.6,98,17
2024-03-12 10:07:13.894659,7.6,98,14
2024-03-12 11:05:02.805574,7.6,98,11
2024-03-12 12:11:39.060939,7.6,98,19
2024-03-12 13:06:57.224189,7.6,98,19
2024-03-12 14:06:30.483335,7.6,98,17
2024-03-12 15:06:39.827561,7.6,98,14
2024-03-12 16:08:56.558430,7.6,98,19
2024-03-12 17:06:56.946327,7.6,98,11
2024-03-12 18:08:39.194453,7.6,98,4
2024-03-12 19:04:45.583625,7.6,98,0
2024-03-12 20:07:25.132409,7.6,98,5
2024-03-12 21:07:10.060838,7.6,98,9
2024-03-12 22:06:25.279201,7.6,98,7
2024-03-12 23:07:34.835879,6.4,0,7
2024-03-13 00:31:04.684700,6.4,0,0
2024-03-13 01:41:37.494788,6.4,0,1
