time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:08.257238,10.2,40,4
2024-03-11 22:44:01.807756,10.2,40,5
2024-03-11 23:07:55.421604,7.5,100,5
2024-03-12 00:31:03.768484,7.5,98,5
2024-03-12 01:38:32.985399,7.5,98,5
2024-03-12 02:12:54.628550,7.5,98,5
2024-03-12 03:08:10.250026,7.5,98,5
2024-03-12 04:08:40.227161,7.5,98,5
2024-03-12 05:08:42.894592,7.5,98,5
2024-03-12 06:09:01.711685,7.5,98,8
2024-03-12 07:07:05.082192,7.5,98,10
2024-03-12 08:08:52.499677,7.5,98,16
2024-03-12 09:07:39.797828,7.5,98,19
2024-03-12 10:07:14.653444,7.5,98,20
2024-03-12 11:05:03.466925,7.5,98,20
2024-03-12 12:11:40.124230,7.5,98,5
2024-03-12 13:06:58.271352,7.5,98,4
2024-03-12 14:06:31.110647,7.5,98,7
2024-03-12 15:06:40.451393,7.5,98,7
2024-03-12 16:08:57.211425,7.5,98,8
2024-03-12 17:06:57.603392,7.5,98,12
2024-03-12 18:08:39.818104,7.5,98,14
2024-03-12 19:04:46.231517,7.5,98,12
2024-03-12 20:07:25.782067,7.5,98,14
2024-03-12 21:07:10.823238,7.5,98,10
2024-03-12 22:06:25.930018,7.5,98,11
2024-03-12 23:07:35.765048,6.4,0,13
2024-03-13 00:31:05.320127,6.4,0,13
2024-03-13 01:41:38.496784,6.4,0,13
2024-03-13 02:15:31.462966,6.4,0,13
2024-03-13 03:08:51.960786,6.4,0,13
2024-03-13 04:08:15.472511,6.4,0,13
2024-03-13 05:07:35.316215,6.4,0,13
2024-03-13 06:09:32.769165,6.4,0,17
2024-03-13 07:06:35.695157,6.4,0,3
2024-03-13 08:08:49.190540,6.4,0,8
