time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:05.549439,9.9,40,13
2024-03-11 22:44:00.208734,9.9,40,12
2024-03-11 23:07:53.519498,7.8,100,12
2024-03-12 00:31:01.436164,7.8,98,12
2024-03-12 01:38:31.418906,7.8,98,12
2024-03-12 02:12:52.714144,7.8,98,12
2024-03-12 03:08:08.633038,7.8,98,12
2024-03-12 04:08:38.664592,7.8,98,12
2024-03-12 05:08:41.005288,7.8,98,12
2024-03-12 06:09:00.100789,7.8,98,12
2024-03-12 07:07:02.447333,7.8,98,11
2024-03-12 08:08:50.949802,7.8,98,11
2024-03-12 09:07:38.184708,7.8,98,15
2024-03-12 10:07:12.757266,7.8,98,16
2024-03-12 11:05:01.829833,7.8,98,16
2024-03-12 12:11:37.474661,7.8,98,13
2024-03-12 13:06:55.670440,7.8,98,9
2024-03-12 14:06:29.532575,7.8,98,7
2024-03-12 15:06:38.890497,7.8,98,3
2024-03-12 16:08:55.578647,7.8,98,3
2024-03-12 17:06:55.968909,7.8,98,2
2024-03-12 18:08:38.258399,7.8,98,4
2024-03-12 19:04:44.615776,7.8,98,2
2024-03-12 20:07:24.165135,7.8,98,19
2024-03-12 21:07:08.932131,7.8,98,19
2024-03-12 22:06:24.309392,7.8,98,19
2024-03-12 23:07:33.430706,6.7,0,19
2024-03-13 00:31:03.711733,6.7,0,19
2024-03-13 01:41:35.985225,6.7,0,19
2024-03-13 02:15:29.030981,6.7,0,19
2024-03-13 03:08:49.325931,6.7,0,19
2024-03-13 04:08:13.573178,6.7,0,19
2024-03-13 05:07:33.757314,6.7,0,18
2024-03-13 06:09:31.154333,6.7,0,18
2024-03-13 07:06:33.057904,6.7,0,17
2024-03-13 08:08:46.873228,6.7,0,15
2024-03-13 09:07:42.479243,6.7,0,12
2024-03-13 10:07:30.341007,6.7,0,19
2024-03-13 11:07:42.402280,6.7,0,15
2024-03-13 12:12:26.401246,6.7,0,6
2024-03-13 13:06:37.663217,6.7,0,6
