time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:05.549439,9.9,40,13
2024-03-11 22:44:00.208734,9.9,40,12
2024-03-11 23:07:53.519498,7.8,100,12
2024-03-12 00:31:01.436164,7.8,98,12
2024-03-12 01:38:31.418906,7.8,98,12
2024-03-12 02:12:52.714144,7.8,98,12
2024-03-12 03:08:08.633038,7.8,98,12
2024-03-12 04:08:38.664592,7.8,98,12
2024-03-12 05:08:41.005288,7.8,98,12
2024-03-12 06:09:00.100789,7.8,98,12
2024-03-12 07:07:02.447333,7.8,98,11
2024-03-12 08:08:50.949802,7.8,98,11
