time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:06.545318,9.6,40,12
2024-03-11 22:44:00.854789,9.6,40,11
2024-03-11 23:07:54.278792,7.4,100,11
2024-03-12 00:31:02.370396,7.4,98,11
2024-03-12 01:38:32.046308,7.4,98,10
2024-03-12 02:12:53.484893,7.4,98,10
2024-03-12 03:08:09.280855,7.4,98,10
2024-03-12 04:08:39.288257,7.4,98,10
2024-03-12 05:08:41.760728,7.4,98,11
2024-03-12 06:09:00.751173,7.4,98,19
2024-03-12 07:07:03.493982,7.4,98,16
2024-03-12 08:08:51.568269,7.4,98,14
2024-03-12 09:07:38.838248,7.4,98,22
2024-03-12 10:07:13.510246,7.4,98,22
2024-03-12 11:05:02.480922,7.4,98,21
2024-03-12 12:11:38.537412,7.4,98,19
2024-03-12 13:06:56.701135,7.4,98,17
2024-03-12 14:06:30.169426,7.4,98,21
2024-03-12 15:06:39.514841,7.4,98,5
2024-03-12 16:08:56.230173,7.4,98,1
2024-03-12 17:06:56.619354,7.4,98,5
2024-03-12 18:08:38.881195,7.4,98,8
2024-03-12 19:04:45.262797,7.4,98,8
2024-03-12 20:07:24.806931,7.4,98,3
2024-03-12 21:07:09.684169,7.4,98,5
2024-03-12 22:06:24.955652,7.4,98,6
2024-03-12 23:07:34.369335,5.9,0,1
2024-03-13 00:31:04.360334,5.9,0,1
2024-03-13 01:41:36.982238,5.9,0,10
2024-03-13 02:15:30.003668,5.9,0,17
2024-03-13 03:08:50.384013,5.9,0,22
2024-03-13 04:08:14.329779,5.9,0,22
2024-03-13 05:07:34.380783,5.9,0,22
2024-03-13 06:09:31.798419,5.9,0,20
2024-03-13 07:06:34.109476,5.9,0,21
2024-03-13 08:08:47.801224,5.9,0,5
2024-03-13 09:07:43.106772,5.9,0,21
2024-03-13 10:07:31.270984,5.9,0,22
2024-03-13 11:07:43.030198,5.9,0,22
2024-03-13 12:12:27.152181,5.9,0,15
2024-03-13 13:06:38.703411,5.9,0,18
2024-03-13 14:06:46.016929,5.9,0,18
2024-03-13 15:07:38.505517,5.9,0,17
2024-03-13 16:07:55.610815,5.9,0,17
2024-03-13 17:28:56.714109,5.9,0,18
2024-03-13 18:08:28.985396,5.9,0,10
2024-03-13 19:06:12.639161,5.9,0,9
2024-03-13 20:06:51.779612,5.9,0,2
2024-03-13 21:07:22.883983,5.9,0,5
2024-03-13 22:06:29.594822,5.9,0,4
2024-03-13 23:07:12.487695,4.2,0,3
2024-03-14 00:30:50.026755,4.2,0,2
2024-03-14 01:39:03.372796,4.2,0,3
2024-03-14 02:13:23.467726,4.2,0,3
2024-03-14 03:07:56.434496,4.2,0,3
2024-03-14 04:08:16.876284,4.2,0,6
2024-03-14 05:06:38.099188,4.2,0,6
2024-03-14 06:08:57.360402,4.2,0,14
2024-03-14 07:07:45.609640,4.2,0,18
2024-03-14 08:09:14.987271,4.2,0,22
2024-03-14 09:06:58.897297,4.2,0,21
2024-03-14 10:07:28.866921,4.2,0,22
2024-03-14 11:05:11.645060,4.2,0,20
2024-03-14 12:13:01.647963,4.2,0,17
2024-03-14 13:07:02.323080,4.2,0,8
2024-03-14 14:06:47.181639,4.2,0,20
2024-03-14 15:43:21.392428,4.2,0,10
2024-03-14 16:08:48.401834,4.2,0,10
2024-03-14 17:06:19.470107,4.2,0,20
2024-03-14 18:08:26.992782,4.2,0,19
2024-03-14 19:05:16.844557,4.2,0,19
2024-03-14 20:07:47.587886,4.2,0,11
2024-03-14 21:07:06.763120,4.2,0,13
2024-03-14 22:06:20.356914,4.2,0,14
2024-03-14 23:06:47.250167,7.8,0,11
2024-03-15 00:31:12.853132,7.8,0,10
2024-03-15 01:40:05.580806,7.8,0,13
2024-03-15 02:14:24.298459,7.8,0,13
2024-03-15 03:07:36.612158,7.8,0,13
2024-03-15 04:09:06.363836,7.8,0,9
2024-03-15 05:08:04.112361,7.8,0,11
2024-03-15 06:09:25.710157,7.8,0,12
2024-03-15 07:07:29.324271,7.8,0,20
2024-03-15 08:09:10.266141,7.8,0,20
2024-03-15 09:07:03.110037,7.8,0,22
2024-03-15 10:06:59.548505,7.8,0,13
2024-03-15 11:05:12.572708,7.8,0,20
2024-03-15 12:11:31.473605,7.8,0,22
2024-03-15 13:07:48.953272,7.8,0,21
2024-03-15 14:07:18.290718,7.8,0,20
2024-03-15 15:06:58.046752,7.8,0,10
2024-03-15 16:08:31.917771,7.8,0,13
2024-03-15 17:05:16.486610,7.8,0,22
2024-03-15 18:10:02.672353,7.8,0,12
2024-03-15 19:04:31.343280,7.8,0,16
2024-03-15 20:11:18.004813,7.8,0,17
2024-03-15 21:04:46.519646,7.8,0,16
2024-03-15 22:07:17.467243,7.8,0,10
2024-03-15 23:07:15.201444,10.2,0,6
2024-03-16 00:29:48.268862,10.2,10,7
2024-03-16 01:37:14.004520,10.2,10,7
2024-03-16 02:12:33.864311,10.2,10,7
2024-03-16 03:07:54.585067,10.2,10,14
2024-03-16 04:07:53.229593,10.2,10,13
2024-03-16 05:06:38.870259,10.2,10,13
2024-03-16 06:08:36.834308,10.2,10,13
2024-03-16 07:06:42.914431,10.2,10,20
2024-03-16 08:08:14.976860,10.2,10,22
2024-03-16 09:05:27.458061,10.2,10,22
2024-03-16 10:06:57.300291,10.2,10,21
2024-03-16 11:04:04.725955,10.2,10,22
2024-03-16 12:11:10.406968,10.2,10,22
2024-03-16 13:06:17.703218,10.2,10,22
2024-03-16 14:04:32.582851,10.2,10,20
2024-03-16 15:05:06.274998,10.2,10,20
2024-03-16 16:06:48.691803,10.2,10,17
2024-03-16 17:04:32.570212,10.2,10,22
2024-03-16 18:08:30.159369,10.2,10,22
2024-03-16 19:03:33.857578,10.2,10,22
2024-03-16 20:06:49.345231,10.2,10,19
2024-03-16 21:04:53.756802,10.2,10,21
2024-03-16 22:05:08.544945,10.2,10,12
2024-03-16 23:07:14.525549,9.1,78,13
2024-03-17 00:34:07.326069,9.1,79,20
2024-03-17 01:42:46.188637,9.1,79,15
2024-03-17 02:15:15.202862,9.1,79,13
2024-03-17 03:07:18.813990,9.1,79,14
2024-03-17 04:08:52.455728,9.1,79,20
2024-03-17 05:08:09.191342,9.1,79,22
2024-03-17 06:08:11.126724,9.1,79,22
2024-03-17 07:05:31.395669,9.1,79,22
2024-03-17 08:08:05.594152,9.1,79,22
2024-03-17 09:05:29.013848,9.1,79,22
2024-03-17 10:06:15.228747,9.1,79,19
2024-03-17 11:03:44.105917,9.1,79,21
2024-03-17 12:11:14.117660,9.1,79,22
2024-03-17 13:07:07.425398,9.1,79,17
2024-03-17 14:04:27.532301,9.1,79,21
