time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:16.914232,9.8,40,16
2024-03-11 22:44:07.554431,9.8,40,16
2024-03-11 23:08:02.248184,7.7,100,16
2024-03-12 00:31:12.156829,7.7,98,16
2024-03-12 01:38:38.592549,7.7,98,16
2024-03-12 02:13:01.485654,7.7,98,16
2024-03-12 03:08:16.027251,7.7,98,16
2024-03-12 04:08:45.879318,7.7,98,16
2024-03-12 05:08:49.722659,7.7,98,16
2024-03-12 06:09:07.475938,7.7,98,15
2024-03-12 07:07:14.569954,7.7,98,15
2024-03-12 08:08:58.083310,7.7,98,15
2024-03-12 09:07:45.551711,7.7,98,15
2024-03-12 10:07:21.466252,7.7,98,19
2024-03-12 11:05:09.340972,7.7,98,16
2024-03-12 12:11:49.667064,7.7,98,18
2024-03-12 13:07:07.610766,7.7,98,18
2024-03-12 14:06:36.788301,7.7,98,16
2024-03-12 15:06:46.077253,7.7,98,17
