time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:06.030845,10.2,40,16
2024-03-11 22:44:00.531679,10.2,40,10
2024-03-11 23:07:53.903074,7.6,100,10
2024-03-12 00:31:01.904950,7.6,98,11
2024-03-12 01:38:31.734606,7.6,98,11
2024-03-12 02:12:53.100002,7.6,98,11
2024-03-12 03:08:08.957829,7.6,98,11
2024-03-12 04:08:38.976328,7.6,98,12
2024-03-12 05:08:41.386510,7.6,98,13
2024-03-12 06:09:00.425824,7.6,98,9
2024-03-12 07:07:02.970464,7.6,98,4
2024-03-12 08:08:51.259630,7.6,98,5
2024-03-12 09:07:38.509122,7.6,98,13
2024-03-12 10:07:13.133240,7.6,98,3
2024-03-12 11:05:02.156978,7.6,98,0
2024-03-12 12:11:38.005423,7.6,98,11
2024-03-12 13:06:56.192325,7.6,98,10
2024-03-12 14:06:29.846316,7.6,98,20
2024-03-12 15:06:39.203283,7.6,98,20
2024-03-12 16:08:55.902284,7.6,98,19
2024-03-12 17:06:56.298406,7.6,98,12
2024-03-12 18:08:38.569889,7.6,98,16
2024-03-12 19:04:44.937061,7.6,98,18
2024-03-12 20:07:24.486100,7.6,98,16
2024-03-12 21:07:09.307727,7.6,98,11
2024-03-12 22:06:24.626312,7.6,98,11
2024-03-12 23:07:33.903812,6.4,0,12
2024-03-13 00:31:04.033320,6.4,0,17
2024-03-13 01:41:36.471806,6.4,0,15
2024-03-13 02:15:29.519324,6.4,0,15
2024-03-13 03:08:49.858334,6.4,0,9
2024-03-13 04:08:13.946856,6.4,0,7
2024-03-13 05:07:34.070245,6.4,0,9
2024-03-13 06:09:31.481391,6.4,0,10
2024-03-13 07:06:33.582158,6.4,0,13
2024-03-13 08:08:47.336222,6.4,0,7
2024-03-13 09:07:42.793522,6.4,0,0
2024-03-13 10:07:30.807571,6.4,0,0
2024-03-13 11:07:42.717803,6.4,0,0
2024-03-13 12:12:26.776769,6.4,0,13
2024-03-13 13:06:38.193212,6.4,0,15
2024-03-13 14:06:45.485497,6.4,0,20
2024-03-13 15:07:38.180990,6.4,0,17
2024-03-13 16:07:55.232855,6.4,0,15
2024-03-13 17:28:56.402730,6.4,0,12
2024-03-13 18:08:28.604185,6.4,0,16
2024-03-13 19:06:12.325636,6.4,0,20
2024-03-13 20:06:51.459160,6.4,0,20
2024-03-13 21:07:22.557817,6.4,0,14
2024-03-13 22:06:29.281182,6.4,0,18
2024-03-13 23:07:11.956667,4.7,0,19
2024-03-14 00:30:49.560830,4.7,0,17
2024-03-14 01:39:02.989546,4.7,0,19
2024-03-14 02:13:23.156650,4.7,0,19
2024-03-14 03:07:56.119333,4.7,0,19
2024-03-14 04:08:16.567711,4.7,0,19
2024-03-14 05:06:37.634618,4.7,0,20
2024-03-14 06:08:57.037176,4.7,0,15
2024-03-14 07:07:45.290866,4.7,0,10
2024-03-14 08:09:14.572671,4.7,0,4
2024-03-14 09:06:58.584206,4.7,0,0
2024-03-14 10:07:28.465686,4.7,0,4
2024-03-14 11:05:11.156691,4.7,0,6
2024-03-14 12:13:01.276420,4.7,0,5
2024-03-14 13:07:01.768392,4.7,0,2
2024-03-14 14:06:46.867782,4.7,0,15
2024-03-14 15:43:21.065809,4.7,0,20
2024-03-14 16:08:47.934962,4.7,0,5
2024-03-14 17:06:19.139981,4.7,0,2
2024-03-14 18:08:26.620878,4.7,0,10
2024-03-14 19:05:16.522289,4.7,0,4
2024-03-14 20:07:47.218173,4.7,0,6
2024-03-14 21:07:06.434162,4.7,0,1
2024-03-14 22:06:20.030633,4.7,0,3
2024-03-14 23:06:46.873321,8.3,0,4
2024-03-15 00:31:12.362588,8.3,0,6
2024-03-15 01:40:05.259342,8.3,0,6
2024-03-15 02:14:23.985070,8.3,0,7
2024-03-15 03:07:36.074063,8.3,0,7
2024-03-15 04:09:05.849209,8.3,0,6
2024-03-15 05:08:03.790692,8.3,0,6
2024-03-15 06:09:25.382587,8.3,0,4
2024-03-15 07:07:28.998758,8.3,0,0
2024-03-15 08:09:09.944426,8.3,0,13
2024-03-15 09:07:02.741206,8.3,0,12
2024-03-15 10:06:59.184648,8.3,0,10
2024-03-15 11:05:12.077577,8.3,0,6
2024-03-15 12:11:31.152657,8.3,0,20
2024-03-15 13:07:48.584437,8.3,0,19
2024-03-15 14:07:17.805002,8.3,0,20
2024-03-15 15:06:57.560130,8.3,0,15
2024-03-15 16:08:31.600987,8.3,0,20
2024-03-15 17:05:16.110607,8.3,0,15
2024-03-15 18:10:02.296395,8.3,0,13
2024-03-15 19:04:30.968915,8.3,0,7
2024-03-15 20:11:17.519377,8.3,0,7
2024-03-15 21:04:46.127687,8.3,0,8
