time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:10.617146,11.5,40,11
2024-03-11 22:44:03.403793,11.5,40,12
2024-03-11 23:07:57.325006,7.7,100,12
2024-03-12 00:31:06.098253,7.7,98,12
2024-03-12 01:38:34.544635,7.7,98,12
2024-03-12 02:12:56.536878,7.7,98,12
2024-03-12 03:08:11.845671,7.7,98,12
2024-03-12 04:08:41.795246,7.7,98,12
2024-03-12 05:08:44.801365,7.7,98,13
2024-03-12 06:09:03.311939,7.7,98,13
2024-03-12 07:07:07.719709,7.7,98,14
2024-03-12 08:08:54.049897,7.7,98,16
2024-03-12 09:07:41.383371,7.7,98,10
2024-03-12 10:07:16.563197,7.7,98,14
2024-03-12 11:05:05.102744,7.7,98,14
2024-03-12 12:11:42.778800,7.7,98,10
2024-03-12 13:07:00.870934,7.7,98,10
2024-03-12 14:06:32.683112,7.7,98,6
2024-03-12 15:06:42.008900,7.7,98,7
2024-03-12 16:08:58.828106,7.7,98,6
2024-03-12 17:06:59.241943,7.7,98,5
2024-03-12 18:08:41.377946,7.7,98,4
2024-03-12 19:04:47.851960,7.7,98,3
2024-03-12 20:07:27.390352,7.7,98,2
2024-03-12 21:07:12.728427,7.7,98,2
2024-03-12 22:06:27.544336,7.7,98,2
2024-03-12 23:07:38.087719,7.4,0,2
2024-03-13 00:31:06.902789,7.4,0,2
2024-03-13 01:41:40.978750,7.4,0,2
2024-03-13 02:15:33.898676,7.4,0,2
2024-03-13 03:08:54.588716,7.4,0,2
2024-03-13 04:08:17.356610,7.4,0,2
2024-03-13 05:07:36.884370,7.4,0,3
2024-03-13 06:09:34.366034,7.4,0,3
2024-03-13 07:06:38.339443,7.4,0,6
2024-03-13 08:08:51.506058,7.4,0,7
2024-03-13 09:07:45.620090,7.4,0,8
2024-03-13 10:07:34.988373,7.4,0,10
2024-03-13 11:07:45.602912,7.4,0,9
2024-03-13 12:12:30.203915,7.4,0,7
2024-03-13 13:06:42.881436,7.4,0,7
2024-03-13 14:06:50.186524,7.4,0,3
2024-03-13 15:07:41.050461,7.4,0,1
2024-03-13 16:07:58.667476,7.4,0,14
2024-03-13 17:28:59.242778,7.4,0,12
2024-03-13 18:08:31.998971,7.4,0,10
2024-03-13 19:06:15.168417,7.4,0,8
2024-03-13 20:06:54.363240,7.4,0,7
2024-03-13 21:07:25.486374,7.4,0,6
2024-03-13 22:06:32.139299,7.4,0,7
2024-03-13 23:07:16.715502,7.3,0,7
2024-03-14 00:30:53.761451,7.3,0,7
2024-03-14 01:39:07.130683,7.3,0,7
2024-03-14 02:13:25.987912,7.3,0,7
2024-03-14 03:07:58.959594,7.3,0,7
2024-03-14 04:08:19.346020,7.3,0,7
2024-03-14 05:06:41.876801,7.3,0,8
2024-03-14 06:08:59.963230,7.3,0,8
2024-03-14 07:07:48.103011,7.3,0,9
2024-03-14 08:09:18.252622,7.3,0,12
2024-03-14 09:07:01.469468,7.3,0,14
2024-03-14 10:07:31.975795,7.3,0,14
2024-03-14 11:05:15.546733,7.3,0,12
2024-03-14 12:13:04.532348,7.3,0,9
2024-03-14 13:07:06.613571,7.3,0,11
2024-03-14 14:06:49.716016,7.3,0,9
2024-03-14 15:43:24.005555,7.3,0,7
2024-03-14 16:08:52.197845,7.3,0,8
2024-03-14 17:06:22.120610,7.3,0,6
2024-03-14 18:08:29.952878,7.3,0,9
2024-03-14 19:05:19.381646,7.3,0,7
2024-03-14 20:07:50.528366,7.3,0,7
2024-03-14 21:07:09.377956,7.3,0,7
2024-03-14 22:06:22.965811,7.3,0,5
2024-03-14 23:06:50.242153,9.3,0,5
2024-03-15 00:31:16.778502,9.3,0,5
2024-03-15 01:40:08.187567,9.3,0,5
2024-03-15 02:14:26.803364,9.3,0,5
2024-03-15 03:07:40.947830,9.3,0,5
2024-03-15 04:09:10.480083,9.3,0,5
2024-03-15 05:08:06.698186,9.3,0,6
2024-03-15 06:09:28.331614,9.3,0,6
2024-03-15 07:07:31.929663,9.3,0,6
2024-03-15 08:09:12.795210,9.3,0,7
2024-03-15 09:07:06.041332,9.3,0,8
2024-03-15 10:07:02.464319,9.3,0,8
2024-03-15 11:05:16.513643,9.3,0,8
2024-03-15 12:11:34.021804,9.3,0,8
2024-03-15 13:07:51.908893,9.3,0,7
2024-03-15 14:07:22.220200,9.3,0,5
2024-03-15 15:07:01.964069,9.3,0,5
2024-03-15 16:08:34.471936,9.3,0,1
2024-03-15 17:05:19.499998,9.3,0,0
2024-03-15 18:10:05.698088,9.3,0,12
2024-03-15 19:04:34.333367,9.3,0,13
2024-03-15 20:11:21.915560,9.3,0,13
2024-03-15 21:04:49.593171,9.3,0,15
2024-03-15 22:07:20.035106,9.3,0,14
2024-03-15 23:07:17.809164,11.3,0,16
2024-03-16 00:29:50.870419,11.3,10,15
2024-03-16 01:37:16.981041,11.3,10,15
2024-03-16 02:12:37.580596,11.3,10,13
2024-03-16 03:07:57.517105,11.3,10,13
2024-03-16 04:07:55.745306,11.3,10,13
2024-03-16 05:06:41.794777,11.3,10,13
2024-03-16 06:08:39.325650,11.3,10,14
2024-03-16 07:06:45.524339,11.3,10,14
2024-03-16 08:08:17.469978,11.3,10,14
2024-03-16 09:05:29.955942,11.3,10,14
2024-03-16 10:07:00.246455,11.3,10,14
2024-03-16 11:04:08.610849,11.3,10,14
2024-03-16 12:11:14.314378,11.3,10,14
2024-03-16 13:06:20.673564,11.3,10,14
2024-03-16 14:04:36.323027,11.3,10,16
2024-03-16 15:05:09.257960,11.3,10,16
2024-03-16 16:06:51.677676,11.3,10,15
2024-03-16 17:04:35.547915,11.3,10,17
2024-03-16 18:08:33.143202,11.3,10,17
2024-03-16 19:03:36.840849,11.3,10,17
2024-03-16 20:06:52.310932,11.3,10,17
2024-03-16 21:04:56.369452,11.3,10,16
2024-03-16 22:05:11.177724,11.3,10,14
2024-03-16 23:07:17.052250,9.3,78,14
2024-03-17 00:34:09.868472,9.3,79,13
2024-03-17 01:42:49.887048,9.3,79,11
2024-03-17 02:15:18.136017,9.3,79,11
2024-03-17 03:07:22.444259,9.3,79,11
2024-03-17 04:08:55.046074,9.3,79,11
2024-03-17 05:08:12.137194,9.3,79,11
2024-03-17 06:08:14.060618,9.3,79,11
2024-03-17 07:05:33.938655,9.3,79,10
2024-03-17 08:08:08.517204,9.3,79,10
2024-03-17 09:05:31.525506,9.3,79,10
2024-03-17 10:06:17.750486,9.3,79,11
2024-03-17 11:03:46.620644,9.3,79,12
2024-03-17 12:11:17.772008,9.3,79,13
2024-03-17 13:07:11.546168,9.3,79,12
2024-03-17 14:04:30.472029,9.3,79,11
2024-03-17 15:07:41.182530,9.3,79,14
2024-03-17 16:07:14.674734,9.3,79,14
2024-03-17 17:04:39.815789,9.3,79,12
2024-03-17 18:07:28.669339,9.3,79,17
2024-03-17 19:04:50.124721,9.3,79,14
2024-03-17 20:07:05.880410,9.3,79,13
2024-03-17 21:07:42.259126,9.3,79,15
2024-03-17 22:05:57.293934,9.3,79,15
2024-03-17 23:08:10.884761,9.2,0,15
2024-03-18 00:32:38.469132,9.2,18,15
2024-03-18 01:39:57.507747,9.2,18,15
2024-03-18 02:14:04.285107,9.2,18,15
2024-03-18 03:08:21.716892,9.2,18,15
2024-03-18 04:08:22.300110,9.2,18,15
2024-03-18 05:08:42.480912,9.2,18,15
2024-03-18 06:09:54.404438,9.2,18,15
2024-03-18 07:07:02.820487,9.2,18,16
2024-03-18 08:09:23.860712,9.2,18,18
2024-03-18 09:07:12.073412,9.2,18,18
2024-03-18 10:08:10.933726,9.2,18,18
2024-03-18 11:06:42.120979,9.2,18,18
2024-03-18 12:12:01.165466,9.2,18,18
2024-03-18 13:07:03.736636,9.2,18,18
2024-03-18 14:07:38.839191,9.2,18,17
2024-03-18 15:06:40.180431,9.2,18,17
2024-03-18 16:09:22.237767,9.2,18,17
2024-03-18 17:07:17.783886,9.2,18,17
2024-03-18 18:08:40.421475,9.2,18,14
2024-03-18 19:06:30.118198,9.2,18,14
2024-03-18 20:06:56.911813,9.2,18,15
2024-03-18 21:07:50.368101,9.2,18,15
2024-03-18 22:07:11.712223,9.2,18,13
2024-03-18 23:07:57.652450,8.0,1,13
2024-03-19 00:31:41.394030,8.0,2,13
2024-03-19 01:39:29.557433,8.0,2,13
2024-03-19 02:14:10.636691,8.0,2,13
2024-03-19 03:08:02.923470,8.0,2,13
2024-03-19 04:08:33.826770,8.0,2,13
2024-03-19 05:07:57.493804,8.0,2,13
2024-03-19 06:09:16.705866,8.0,2,13
2024-03-19 07:06:53.674424,8.0,2,13
2024-03-19 08:09:02.623804,8.0,2,13
2024-03-19 09:07:12.074931,8.0,2,13
2024-03-19 10:08:05.769344,8.0,2,15
2024-03-19 11:04:50.846982,8.0,2,15
2024-03-19 12:12:24.512612,8.0,2,15
2024-03-19 13:07:46.212355,8.0,2,17
2024-03-19 14:07:10.060413,8.0,2,17
2024-03-19 15:07:54.116602,8.0,2,14
2024-03-19 16:09:00.668286,8.0,2,12
2024-03-19 17:07:23.042846,8.0,2,14
2024-03-19 18:08:40.379114,8.0,2,10
2024-03-19 19:06:26.495566,8.0,2,13
2024-03-19 20:07:40.068651,8.0,2,14
2024-03-19 21:05:25.862790,8.0,2,11
2024-03-19 22:06:15.994012,8.0,2,10
2024-03-19 23:07:28.254988,2.8,0,10
2024-03-20 00:31:13.048303,2.8,0,10
2024-03-20 01:38:55.534561,2.8,0,10
2024-03-20 02:13:33.375875,2.8,0,9
2024-03-20 03:08:37.384757,2.8,0,8
2024-03-20 04:09:14.472134,2.8,0,8
2024-03-20 05:06:43.864756,2.8,0,8
2024-03-20 06:09:33.029978,2.8,0,8
2024-03-20 07:07:26.250030,2.8,0,8
2024-03-20 08:08:51.246099,2.8,0,10
2024-03-20 09:07:32.893094,2.8,0,10
2024-03-20 10:07:20.000384,2.8,0,12
2024-03-20 11:06:10.711485,2.8,0,12
2024-03-20 12:11:44.283915,2.8,0,11
2024-03-20 13:08:12.681479,2.8,0,11
2024-03-20 14:06:56.882728,2.8,0,6
2024-03-20 15:06:50.284821,2.8,0,7
2024-03-20 16:09:30.589467,2.8,0,6
2024-03-20 17:04:34.284455,2.8,0,7
2024-03-20 18:08:29.868556,2.8,0,9
2024-03-20 19:04:09.246,2.8,0,10
2024-03-20 20:08:00.176487,2.8,0,9
2024-03-20 21:07:29.107886,2.8,0,9
2024-03-20 22:05:51.635120,2.8,0,9
2024-03-20 23:08:21.389281,7.4,0,9
2024-03-21 00:32:33.713998,7.4,0,9
2024-03-21 01:40:35.972524,7.4,0,9
2024-03-21 02:15:51.199923,7.4,0,9
2024-03-21 03:09:05.555249,7.4,0,9
2024-03-21 04:09:02.791365,7.4,0,9
2024-03-21 05:07:12.894694,7.4,0,9
2024-03-21 06:09:14.170312,7.4,0,8
2024-03-21 07:07:36.138629,7.4,0,8
2024-03-21 08:08:57.252896,7.4,0,9
2024-03-21 09:07:02.132056,7.4,0,10
2024-03-21 10:07:07.515311,7.4,0,10
2024-03-21 11:04:50.361286,7.4,0,10
2024-03-21 12:11:30.704369,7.4,0,9
2024-03-21 13:08:29.330516,7.4,0,10
2024-03-21 14:06:58.024381,7.4,0,8
2024-03-21 15:07:47.315732,7.4,0,7
2024-03-21 16:08:49.105905,7.4,0,6
2024-03-21 17:06:36.161292,7.4,0,5
2024-03-21 18:08:46.319553,7.4,0,6
2024-03-21 19:06:24.906453,7.4,0,7
2024-03-21 20:07:30.182798,7.4,0,5
2024-03-21 21:07:25.425831,7.4,0,5
2024-03-21 22:06:17.320891,7.4,0,4
2024-03-21 23:08:08.691152,11.5,20,4
2024-03-22 00:31:04.880590,11.5,11,4
2024-03-22 01:38:48.646003,11.5,11,4
2024-03-22 02:13:34.053648,11.5,11,4
2024-03-22 03:07:47.453550,11.5,11,4
2024-03-22 04:08:19.387364,11.5,11,4
2024-03-22 05:07:54.039047,11.5,11,4
2024-03-22 06:09:10.041885,11.5,11,5
2024-03-22 07:07:28.940695,11.5,11,6
2024-03-22 08:09:37.101852,11.5,11,8
2024-03-22 09:08:42.250985,11.5,11,9
2024-03-22 10:07:05.793511,11.5,11,9
2024-03-22 11:06:10.067523,11.5,11,10
2024-03-22 12:12:23.585024,11.5,11,9
2024-03-22 13:06:28.235481,11.5,11,11
2024-03-22 14:07:04.461415,11.5,11,7
2024-03-22 15:06:52.580511,11.5,11,7
2024-03-22 16:09:32.194176,11.5,11,7
2024-03-22 17:05:35.293912,11.5,11,6
2024-03-22 18:08:54.203573,11.5,11,11
2024-03-22 19:04:22.456955,11.5,11,7
2024-03-22 20:07:16.868744,11.5,11,7
2024-03-22 21:06:44.106123,11.5,11,9
2024-03-22 22:06:36.463886,11.5,11,9
2024-03-22 23:06:47.544212,10.0,0,9
2024-03-23 00:30:37.970158,10.0,0,9
2024-03-23 01:36:59.983141,10.0,0,8
2024-03-23 02:13:38.258962,10.0,0,9
