time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:10.617146,11.5,40,11
2024-03-11 22:44:03.403793,11.5,40,12
2024-03-11 23:07:57.325006,7.7,100,12
2024-03-12 00:31:06.098253,7.7,98,12
2024-03-12 01:38:34.544635,7.7,98,12
2024-03-12 02:12:56.536878,7.7,98,12
2024-03-12 03:08:11.845671,7.7,98,12
2024-03-12 04:08:41.795246,7.7,98,12
2024-03-12 05:08:44.801365,7.7,98,13
2024-03-12 06:09:03.311939,7.7,98,13
2024-03-12 07:07:07.719709,7.7,98,14
2024-03-12 08:08:54.049897,7.7,98,16
2024-03-12 09:07:41.383371,7.7,98,10
2024-03-12 10:07:16.563197,7.7,98,14
2024-03-12 11:05:05.102744,7.7,98,14
2024-03-12 12:11:42.778800,7.7,98,10
2024-03-12 13:07:00.870934,7.7,98,10
2024-03-12 14:06:32.683112,7.7,98,6
2024-03-12 15:06:42.008900,7.7,98,7
2024-03-12 16:08:58.828106,7.7,98,6
2024-03-12 17:06:59.241943,7.7,98,5
2024-03-12 18:08:41.377946,7.7,98,4
2024-03-12 19:04:47.851960,7.7,98,3
2024-03-12 20:07:27.390352,7.7,98,2
2024-03-12 21:07:12.728427,7.7,98,2
2024-03-12 22:06:27.544336,7.7,98,2
2024-03-12 23:07:38.087719,7.4,0,2
2024-03-13 00:31:06.902789,7.4,0,2
2024-03-13 01:41:40.978750,7.4,0,2
2024-03-13 02:15:33.898676,7.4,0,2
2024-03-13 03:08:54.588716,7.4,0,2
2024-03-13 04:08:17.356610,7.4,0,2
2024-03-13 05:07:36.884370,7.4,0,3
2024-03-13 06:09:34.366034,7.4,0,3
2024-03-13 07:06:38.339443,7.4,0,6
2024-03-13 08:08:51.506058,7.4,0,7
2024-03-13 09:07:45.620090,7.4,0,8
2024-03-13 10:07:34.988373,7.4,0,10
2024-03-13 11:07:45.602912,7.4,0,9
2024-03-13 12:12:30.203915,7.4,0,7
2024-03-13 13:06:42.881436,7.4,0,7
2024-03-13 14:06:50.186524,7.4,0,3
2024-03-13 15:07:41.050461,7.4,0,1
2024-03-13 16:07:58.667476,7.4,0,14
2024-03-13 17:28:59.242778,7.4,0,12
2024-03-13 18:08:31.998971,7.4,0,10
2024-03-13 19:06:15.168417,7.4,0,8
2024-03-13 20:06:54.363240,7.4,0,7
2024-03-13 21:07:25.486374,7.4,0,6
2024-03-13 22:06:32.139299,7.4,0,7
2024-03-13 23:07:16.715502,7.3,0,7
2024-03-14 00:30:53.761451,7.3,0,7
2024-03-14 01:39:07.130683,7.3,0,7
2024-03-14 02:13:25.987912,7.3,0,7
2024-03-14 03:07:58.959594,7.3,0,7
2024-03-14 04:08:19.346020,7.3,0,7
2024-03-14 05:06:41.876801,7.3,0,8
2024-03-14 06:08:59.963230,7.3,0,8
2024-03-14 07:07:48.103011,7.3,0,9
2024-03-14 08:09:18.252622,7.3,0,12
2024-03-14 09:07:01.469468,7.3,0,14
2024-03-14 10:07:31.975795,7.3,0,14
2024-03-14 11:05:15.546733,7.3,0,12
2024-03-14 12:13:04.532348,7.3,0,9
2024-03-14 13:07:06.613571,7.3,0,11
2024-03-14 14:06:49.716016,7.3,0,9
2024-03-14 15:43:24.005555,7.3,0,7
2024-03-14 16:08:52.197845,7.3,0,8
2024-03-14 17:06:22.120610,7.3,0,6
2024-03-14 18:08:29.952878,7.3,0,9
2024-03-14 19:05:19.381646,7.3,0,7
2024-03-14 20:07:50.528366,7.3,0,7
2024-03-14 21:07:09.377956,7.3,0,7
2024-03-14 22:06:22.965811,7.3,0,5
2024-03-14 23:06:50.242153,9.3,0,5
2024-03-15 00:31:16.778502,9.3,0,5
2024-03-15 01:40:08.187567,9.3,0,5
2024-03-15 02:14:26.803364,9.3,0,5
2024-03-15 03:07:40.947830,9.3,0,5
2024-03-15 04:09:10.480083,9.3,0,5
2024-03-15 05:08:06.698186,9.3,0,6
2024-03-15 06:09:28.331614,9.3,0,6
2024-03-15 07:07:31.929663,9.3,0,6
2024-03-15 08:09:12.795210,9.3,0,7
2024-03-15 09:07:06.041332,9.3,0,8
2024-03-15 10:07:02.464319,9.3,0,8
2024-03-15 11:05:16.513643,9.3,0,8
2024-03-15 12:11:34.021804,9.3,0,8
2024-03-15 13:07:51.908893,9.3,0,7
2024-03-15 14:07:22.220200,9.3,0,5
2024-03-15 15:07:01.964069,9.3,0,5
2024-03-15 16:08:34.471936,9.3,0,1
2024-03-15 17:05:19.499998,9.3,0,0
2024-03-15 18:10:05.698088,9.3,0,12
2024-03-15 19:04:34.333367,9.3,0,13
2024-03-15 20:11:21.915560,9.3,0,13
2024-03-15 21:04:49.593171,9.3,0,15
2024-03-15 22:07:20.035106,9.3,0,14
2024-03-15 23:07:17.809164,11.3,0,16
2024-03-16 00:29:50.870419,11.3,10,15
2024-03-16 01:37:16.981041,11.3,10,15
2024-03-16 02:12:37.580596,11.3,10,13
2024-03-16 03:07:57.517105,11.3,10,13
2024-03-16 04:07:55.745306,11.3,10,13
2024-03-16 05:06:41.794777,11.3,10,13
2024-03-16 06:08:39.325650,11.3,10,14
2024-03-16 07:06:45.524339,11.3,10,14
2024-03-16 08:08:17.469978,11.3,10,14
2024-03-16 09:05:29.955942,11.3,10,14
2024-03-16 10:07:00.246455,11.3,10,14
2024-03-16 11:04:08.610849,11.3,10,14
2024-03-16 12:11:14.314378,11.3,10,14
2024-03-16 13:06:20.673564,11.3,10,14
2024-03-16 14:04:36.323027,11.3,10,16
2024-03-16 15:05:09.257960,11.3,10,16
2024-03-16 16:06:51.677676,11.3,10,15
2024-03-16 17:04:35.547915,11.3,10,17
2024-03-16 18:08:33.143202,11.3,10,17
2024-03-16 19:03:36.840849,11.3,10,17
2024-03-16 20:06:52.310932,11.3,10,17
2024-03-16 21:04:56.369452,11.3,10,16
2024-03-16 22:05:11.177724,11.3,10,14
2024-03-16 23:07:17.052250,9.3,78,14
2024-03-17 00:34:09.868472,9.3,79,13
2024-03-17 01:42:49.887048,9.3,79,11
2024-03-17 02:15:18.136017,9.3,79,11
2024-03-17 03:07:22.444259,9.3,79,11
2024-03-17 04:08:55.046074,9.3,79,11
2024-03-17 05:08:12.137194,9.3,79,11
2024-03-17 06:08:14.060618,9.3,79,11
2024-03-17 07:05:33.938655,9.3,79,10
2024-03-17 08:08:08.517204,9.3,79,10
