time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:14.413029,11.5,40,17
2024-03-11 22:44:05.958118,11.5,40,15
2024-03-11 23:08:00.350903,7.7,100,15
2024-03-12 00:31:09.825434,7.7,98,14
2024-03-12 01:38:37.034037,7.7,98,14
2024-03-12 02:12:59.576909,7.7,98,14
2024-03-12 03:08:14.409705,7.7,98,14
2024-03-12 04:08:44.311913,7.7,98,14
2024-03-12 05:08:47.835809,7.7,98,14
2024-03-12 06:09:05.868882,7.7,98,14
2024-03-12 07:07:11.935702,7.7,98,18
2024-03-12 08:08:56.536612,7.7,98,15
2024-03-12 09:07:43.950564,7.7,98,14
2024-03-12 10:07:19.568959,7.7,98,19
2024-03-12 11:05:07.709429,7.7,98,20
2024-03-12 12:11:47.009937,7.7,98,9
2024-03-12 13:07:05.011317,7.7,98,14
2024-03-12 14:06:35.204203,7.7,98,20
2024-03-12 15:06:44.513761,7.7,98,17
2024-03-12 16:09:01.459341,7.7,98,14
2024-03-12 17:07:01.918902,7.7,98,18
2024-03-12 18:08:43.887229,7.7,98,15
2024-03-12 19:04:50.434129,7.7,98,15
2024-03-12 20:07:29.975706,7.7,98,10
2024-03-12 21:07:15.775722,7.7,98,9
2024-03-12 22:06:30.094990,7.7,98,7
2024-03-12 23:07:41.805179,7.4,0,7
2024-03-13 00:31:09.454069,7.4,0,7
2024-03-13 01:41:44.975461,7.4,0,7
2024-03-13 02:15:37.780383,7.4,0,7
2024-03-13 03:08:58.816733,7.4,0,7
2024-03-13 04:08:20.387075,7.4,0,7
2024-03-13 05:07:39.380184,7.4,0,8
2024-03-13 06:09:36.962040,7.4,0,13
2024-03-13 07:06:42.571434,7.4,0,19
2024-03-13 08:08:55.212894,7.4,0,13
2024-03-13 09:07:48.141228,7.4,0,15
2024-03-13 10:07:38.701328,7.4,0,15
2024-03-13 11:07:48.192341,7.4,0,19
2024-03-13 12:12:33.247917,7.4,0,20
2024-03-13 13:06:47.068509,7.4,0,13
2024-03-13 14:06:54.379966,7.4,0,10
2024-03-13 15:07:43.614241,7.4,0,18
2024-03-13 16:08:01.681966,7.4,0,12
2024-03-13 17:29:01.744075,7.4,0,19
2024-03-13 18:08:35.037495,7.4,0,20
2024-03-13 19:06:17.675236,7.4,0,20
2024-03-13 20:06:56.968876,7.4,0,18
2024-03-13 21:07:28.091217,7.4,0,14
2024-03-13 22:06:34.697063,7.4,0,9
2024-03-13 23:07:20.938737,7.3,0,8
2024-03-14 00:30:57.493711,7.3,0,9
2024-03-14 01:39:10.202350,7.3,0,9
2024-03-14 02:13:28.479415,7.3,0,9
2024-03-14 03:08:01.486932,7.3,0,9
2024-03-14 04:08:21.827799,7.3,0,9
2024-03-14 05:06:45.627853,7.3,0,9
2024-03-14 06:09:02.583555,7.3,0,12
2024-03-14 07:07:50.604842,7.3,0,16
2024-03-14 08:09:21.511594,7.3,0,12
2024-03-14 09:07:04.000584,7.3,0,12
2024-03-14 10:07:35.077714,7.3,0,11
2024-03-14 11:05:19.441760,7.3,0,13
2024-03-14 12:13:07.437743,7.3,0,17
2024-03-14 13:07:10.895428,7.3,0,13
2024-03-14 14:06:52.217955,7.3,0,11
2024-03-14 15:43:26.622674,7.3,0,13
2024-03-14 16:08:55.937676,7.3,0,11
2024-03-14 17:06:24.801519,7.3,0,13
2024-03-14 18:08:32.911250,7.3,0,12
2024-03-14 19:05:21.930657,7.3,0,11
2024-03-14 20:07:53.470687,7.3,0,6
2024-03-14 21:07:11.973010,7.3,0,5
2024-03-14 22:06:25.579663,7.3,0,3
2024-03-14 23:06:53.221297,9.3,0,4
2024-03-15 00:31:20.697942,9.3,0,4
2024-03-15 01:40:10.786990,9.3,0,4
2024-03-15 02:14:29.305759,9.3,0,4
2024-03-15 03:07:45.165278,9.3,0,4
2024-03-15 04:09:14.590593,9.3,0,4
2024-03-15 05:08:09.247458,9.3,0,4
2024-03-15 06:09:30.951579,9.3,0,4
2024-03-15 07:07:34.556971,9.3,0,10
2024-03-15 08:09:15.321547,9.3,0,10
2024-03-15 09:07:08.971989,9.3,0,20
2024-03-15 10:07:05.402466,9.3,0,17
2024-03-15 11:05:20.449955,9.3,0,18
2024-03-15 12:11:36.650282,9.3,0,20
2024-03-15 13:07:54.863302,9.3,0,17
2024-03-15 14:07:26.146497,9.3,0,14
2024-03-15 15:07:05.881434,9.3,0,9
2024-03-15 16:08:36.990435,9.3,0,11
2024-03-15 17:05:22.480490,9.3,0,13
2024-03-15 18:10:08.725630,9.3,0,15
2024-03-15 19:04:37.343576,9.3,0,13
2024-03-15 20:11:25.818708,9.3,0,11
2024-03-15 21:04:52.654786,9.3,0,8
2024-03-15 22:07:22.577514,9.3,0,8
2024-03-15 23:07:20.443200,11.3,0,4
2024-03-16 00:29:53.510834,11.3,10,4
2024-03-16 01:37:19.955933,11.3,10,4
2024-03-16 02:12:41.303542,11.3,10,4
2024-03-16 03:08:00.458159,11.3,10,6
2024-03-16 04:07:58.237569,11.3,10,6
2024-03-16 05:06:44.722149,11.3,10,6
