time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:09.196510,11.5,40,9
2024-03-11 22:44:02.442843,11.5,40,10
2024-03-11 23:07:56.183052,7.7,100,10
2024-03-12 00:31:04.699641,7.7,98,10
2024-03-12 01:38:33.609138,7.7,98,10
2024-03-12 02:12:55.393843,7.7,98,10
2024-03-12 03:08:10.881023,7.7,98,10
2024-03-12 04:08:40.859767,7.7,98,10
2024-03-12 05:08:43.660285,7.7,98,10
2024-03-12 06:09:02.353033,7.7,98,7
2024-03-12 07:07:06.141271,7.7,98,9
2024-03-12 08:08:53.117886,7.7,98,9
2024-03-12 09:07:40.437811,7.7,98,10
2024-03-12 10:07:15.421247,7.7,98,13
2024-03-12 11:05:04.122127,7.7,98,15
2024-03-12 12:11:41.179779,7.7,98,12
2024-03-12 13:06:59.318157,7.7,98,10
2024-03-12 14:06:31.736979,7.7,98,7
2024-03-12 15:06:41.073432,7.7,98,10
2024-03-12 16:08:57.864596,7.7,98,11
2024-03-12 17:06:58.257450,7.7,98,11
2024-03-12 18:08:40.442504,7.7,98,9
2024-03-12 19:04:46.887419,7.7,98,9
2024-03-12 20:07:26.424881,7.7,98,15
2024-03-12 21:07:11.588778,7.7,98,14
2024-03-12 22:06:26.577972,7.7,98,14
2024-03-12 23:07:36.693257,7.4,0,14
2024-03-13 00:31:05.946796,7.4,0,14
2024-03-13 01:41:39.501694,7.4,0,14
2024-03-13 02:15:32.434901,7.4,0,14
2024-03-13 03:08:53.008043,7.4,0,14
2024-03-13 04:08:16.224968,7.4,0,14
2024-03-13 05:07:35.947549,7.4,0,14
2024-03-13 06:09:33.412344,7.4,0,9
2024-03-13 07:06:36.760855,7.4,0,11
2024-03-13 08:08:50.117602,7.4,0,14
2024-03-13 09:07:44.678636,7.4,0,15
2024-03-13 10:07:33.594893,7.4,0,17
2024-03-13 11:07:44.636512,7.4,0,17
2024-03-13 12:12:29.059686,7.4,0,20
2024-03-13 13:06:41.319350,7.4,0,19
2024-03-13 14:06:48.619844,7.4,0,14
2024-03-13 15:07:40.095904,7.4,0,11
2024-03-13 16:07:57.526476,7.4,0,9
2024-03-13 17:28:58.285226,7.4,0,8
2024-03-13 18:08:30.854063,7.4,0,14
2024-03-13 19:06:14.204988,7.4,0,11
2024-03-13 20:06:53.393121,7.4,0,10
2024-03-13 21:07:24.508719,7.4,0,14
2024-03-13 22:06:31.178399,7.4,0,14
2024-03-13 23:07:15.126547,7.3,0,14
2024-03-14 00:30:52.361264,7.3,0,14
2024-03-14 01:39:05.921214,7.3,0,14
2024-03-14 02:13:25.040848,7.3,0,14
2024-03-14 03:07:58.012494,7.3,0,14
2024-03-14 04:08:18.419216,7.3,0,14
2024-03-14 05:06:40.463463,7.3,0,14
2024-03-14 06:08:58.985580,7.3,0,12
2024-03-14 07:07:47.173523,7.3,0,18
2024-03-14 08:09:17.031020,7.3,0,10
2024-03-14 09:07:00.516154,7.3,0,11
2024-03-14 10:07:30.822560,7.3,0,14
2024-03-14 11:05:14.083704,7.3,0,16
2024-03-14 12:13:03.447133,7.3,0,17
2024-03-14 13:07:04.992717,7.3,0,11
2024-03-14 14:06:48.769992,7.3,0,5
2024-03-14 15:43:23.030895,7.3,0,11
2024-03-14 16:08:50.778095,7.3,0,10
2024-03-14 17:06:21.127109,7.3,0,14
2024-03-14 18:08:28.835939,7.3,0,13
2024-03-14 19:05:18.436623,7.3,0,13
2024-03-14 20:07:49.431619,7.3,0,15
2024-03-14 21:07:08.385281,7.3,0,16
2024-03-14 22:06:21.983441,7.3,0,17
2024-03-14 23:06:49.122148,9.3,0,17
2024-03-15 00:31:15.318317,9.3,0,17
2024-03-15 01:40:07.214637,9.3,0,17
2024-03-15 02:14:25.869289,9.3,0,17
2024-03-15 03:07:39.336926,9.3,0,17
2024-03-15 04:09:08.934897,9.3,0,17
2024-03-15 05:08:05.746468,9.3,0,17
2024-03-15 06:09:27.355162,9.3,0,16
2024-03-15 07:07:30.946810,9.3,0,12
